ID #,TITLE,DESCRIPTION,LOCATION,DISTRICT,LATITUDE,LONGITUDE
SU-031747,West Winifred Street Lights,"Obtain new street lighting for West Winifred Street. The old, sparse and often flickering telephone-pole lights are run down and look like highway or thoroughfare lighting. They are located only at intersections and there is only one light per intersection. Throughout most of the West Side, and on almost every other street west of Stryker, new lights-shorter black metal lamplights, have been installed by the City. These newer, pedestrian-scaled, lights are set much closer to each other than the old lights, for more illumination the entire length of each block.",West Winifred Street from Humboldt Avenue to Ohio Street.,3,,
SU-010894,Londin Lane - Burlington to McKnight,"Reconstruct roadway with bituminous pavement, concrete curb and gutter, sidewalk, and storm sewer system.  The existing roadway is an oiled street with some bituminous curb on the western portion.  It is proposed to construct Londin Lane to the MSA standard of 32 feet with one side parking or 38 feet with two side parking.  Lantern style lighting and trees will be installed in conjunction with the street reconstruction.",Londin Lane - Burlington Road to McKnight Road,"1, 2",,
SU-013027,Ruth Street Reconstruction - Upper Afton to Burns,"The project is to reconstruct this older paved street with new bituminous pavement. The project will also include constructing concrete curb and gutter, concrete driveway aprons, concrete outwalks where appropriate, ADA compliant pedestrian ramps at corners, grading and sodding the boulevards, planting trees, installing new lantern style street lighting, and making any needed improvements to the storm sewer system. This project is being proposed to coordinate with the adjacent Battle Creek - Upper Afton RSVP project, scheduled for 2012.",Upper Afton Road to Burns Avenue,1,,
CF-172891,Downtown Play Area Improvements,"The Outdoor Children's Play Space is a 7,000 square foot City-owned tot lot located on the southwest corner of 4th and Sibley Streets in the historic Lowertown neighborhood of downtown St. Paul. With an original mural as its backdrop, the Play Space features equipment designed to inspire small children's imaginative and active outdoor play. Since its creation seventeen years ago, the Play Space has experienced heavy usage and today it exhibits damaged equipment, worn surfaces, and overgrown landscaping. Funds are needed to complete the repairs and maintenance necessary to ensure that the Play Space remains a safe amenity for downtown families, convenient destination for nearby schools and daycare centers, and a vibrant child-friendly draw for visitors to downtown.",East 4th Street and Sibley Street,17,,
SU-082643,Western Avenue Streetscape - Selby to University,"The project will provide much needed improvements to Western Avenue's streetscape from University to Summit Avenues in two phases, beginning with the section between University and Selby Avenues.  Based upon extensive research and community dialogue, planned improvements will: promote pedestrian and bicycle use and safety; create a distinctive, accessible, artful, sustainable and amenable connection between Summit University's isolated and under-served population on the north side of I-94 and the concentration of civic and educational resources to the south; promote economic development, synergy and vitality; manifest Saint Paul's identity as a creative city; and provide a meaningful pedestrian link to the Central Corridor at a critical node.",Western Avenue - Selby to University,8,,
SU-061472-1,Rice Street and Maryland Avenue Intersection Redesign,"This project seeks to improve the intersection of Maryland Avenue and Rice Street. This intersection is under built for its current traffic flow.  This project would redesign the intersection to handle its heavy traffic and would increase pedestrian and vehicle safety and improve neighborhood accessibility (currently left turns onto Rice Street are restricted during rush hour). However, motorists continue to make left turns during rush hour and therefore, increase the risk of accidents. The redesign would create left turn lanes on westbound and eastbound Maryland Avenue at Rice Street. This project consists of three phases: a planning process to determine the best configuration of the intersection would be completed by the end of 2006, acquisition of right of way to add left turn lanes would be finalized in 2007, and construction is anticipated in 2008.",Intersection of Rice Street and Maryland Avenue,6,,
CF-021768,Hamline Hague Tot Lot/Sitework,"Construction of a new children's play area that will meet current Consumer Product Safety Commission guidelines and ADA requirements for accessibility.  Related site improvements such as walkways, benches, landscaping, and signage are also included.",Southwest corner of Hague and Scheuneman Aves.,2,,
CF-030707,Paul and Sheila Wellstone Center for Community Building,"We request approval of construction funds for a new 93,000 sq. ft. community center where El Rio Vista Recreation Center and Neighborhood House Community Center are located, including purchase by the City of the existing parking lot and property at 193 E. Robie owned by NHH.  Through multiple private and public investors, the new facility will address needs of Saint Paul Parks and Recreation and Neighborhood House programs for the West Side and the greater Saint Paul area.  Critical areas identified in our 2001 community needs assessment cover a broad spectrum of needs: areas for social, recreational, arts, and fitness programs; more programs and activities for youth and elders; community gathering and meeting space; co-located organizations providing services and programs not available through the City or Neighborhood House; and drop-in child care.",179 Robie Street E.,3,,
RE-661846-5,Acquisition Fund for Stabilizing Neighborhoods,"Funding is being requested to:
1. Acquire by HRA or its partners hazardous, blighted properties for immediate demolition. Controlling the disposition of the property will allow the HRA and community to determine the highest and best re-use. The resulting vacant lots may be utilized as follows:
a. lots too small for redevelopment may be sold to adjacent property owners, or transferred as neighborhood green space.
b. vacant lots that could be developed as part of a larger redevelopment will be held as part of site assembly for future development.
c. vacant lots that will not be part of a larger development may be held until the market changes and redevelopment in the market place is feasible. (In the interim, use of these lots could be used for community gardens, urban farming and/or green space.)
2. Acquire by HRA or other partners properties for future rehabilitation or preservation. Properties acquired by the HRA with potential for future rehabilitation will be secured and maintained with neighborhood assistance until the real estate market corrects and rehabilitation is financially viable. Properties acquired by partners will be leveraged with other financing for immediate rehabilitation and/or preservation. Funding for the above activity may be recaptured upon sale of the property.",Citywide,Citywide,,
SU-6602231-8,Prior/Goodrich RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Prior/Goodrich RSVP,14,,
SU-661943,Uninterrupted Power Supply System,"Currently, the St Paul Police department has only one Power Supply (PS) system to run the public safety dispatch system. We are proposing an Uninterrupted Power Supply (UPS) through the use of a redundant system with paralleling gear. There would be a need for the purchase and installation of a power source and wiring to connect the systems to the CAD.",367 Grove Street,Citywide,,
SU-660819-1,Major Sewer Repair Program,"This is an annual program to repair, replace or rehabilitate major defects in the Saint Paul Sewer System.  These projects are not part of the planned sewer rehabilitation program.  They are normally related to some unanticipated problem and are generally beyond the equipment and time capabilities of Public Works Sewer Maintenance.",Citywide,Citywide,,
SU-551881,Kellogg Blvd & John Ireland Blvd - Turn Lanes and Bike Lanes,Widen John Ireland Boulevard by cutting left turn lanes into the median islands at the Kellogg Boulevard intersection.  Reconstruct medians on Summit/John Ireland between Kellogg Boulevard and Selby Avenue.  Add bike lane striping to connect bike lanes on Summit Avenue to bike lanes on John Ireland.,John Ireland Boulevard from Kellogg Boulevard to Selby Avenue,"8, 16, 17",,
SU-6600816-17,Seventh/Bay RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Seventh/Bay RSVP,9,,
SU-660820-1,Sewer System Rehabilitation Program,"Continue a long term, systematic program which identifies and prioritizes maintenance, repair, rehabilitation and replacement needs within the City's Sewer System.",Citywide,Citywide,,
CF-660836-382,Cold Weather Truck Heater Outlets- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,891 North Dale Street,10,44.96806837,-93.12638902
CF-660836-441,West Minnehaha Rec Center - Restroom Facility Replacement- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,685 Minnehaha Ave W,Citywide,44.963298,-93.129307
CF-660836-372,Specialty Unit Garage Door Replacement (911 Garage)- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,388 13th Street,5,44.95703077,-93.08816233
SU-661834,Community Warning System,"The City of Saint Paul's Community Warning Siren System is a computer monitored, radio controlled network of sirens designed to alert the general public that a large scale emergency exists or is threatening the city.  The sirens are a local extension of the national warning system and are sometimes referred to as the civil defense sirens because of their development in anticipated use for warning citizens about enemy attacks against the United States during the Cold War.  Although owned and operated by local authorities, the sirens continue to be a part of a nationwide system used in times of national emergencies.  The siren system is composed of 37 individual sirens located around the city.  The sirens are designed for operation in all weather conditions including periods of low temperatures.  When activated together, the sirens produce a high decibel warning to virtually 100 percent of outdoor areas of the city.",Citywide,Citywide,,
RE-552504-1,Capitol Backyard Business Improvement Fund,"Sparc and Greater Frogtown CDC will provide and manage commercial revitalization grants to encourage private investment in commercial properties.  These grants will rehabilitate aging storefronts in crucial commercial corridors, will support local businesses, and will attract new businesses and jobs, filling vacant storefronts.  

Investments will be made in the Frogtown, North End, South Como, and Hamline Midway neighborhoods. Targeted commercial corridors are Rice and Dale (from University to Larpenteur), University (from Rice to Fairview), and Snelling (from University to Hewitt).    

Grants will be applied to exterior and interior building improvements, including energy efficiency retrofits. Grants will also help existing businesses invest in business planning and marketing. New entrepreneurs will be attracted by matching start-up grants. 

Recipients will be encouraged to comply with the Rice Street and Snelling Avenue Design Guidelines which were developed by community members to showcase the area's historic architectural details and enhance public safety.","Entirety of Districts 6, 7, and 11","6, 7, 11",,
SU-173186,Kellogg Boulevard Bridge at St. Peter Street Reconstruction,"The existing bridge carrying eastbound Kellogg Boulevard traffic over the river bluff near St. Peter Street is structurally deficient and under posted load restrictions.  Constructed in 1928, this bridge is in need of replacement.  The proposed bridge will improve function and service along this important downtown transportation corridor.  The proposed new bridge will maintain the current level of vehicular and pedestrian traffic which includes: two traffic lanes, a raised sidewalk and a 6' wide bicycle lane connecting to the existing bicycle facilities on Wabasha.",Kellogg Boulevard 150' east of St. Peter Street,17,,
SU-662763-1,Signalized Intersection Safety Improvements Program,"Administer, design and construct new traffic signal systems when and where warranted throughout the City.  Reconstruct existing traffic signal systems in order to improve safety and traffic flow.

Make minor changes to existing traffic signal systems in order to improve safety and traffic flow efficiency.  Bring traffic signal systems into compliance with current design standards (ie. add left turn arrows, install overhead signal indications, install larger indications, etc.).  

Make minor changes to roadway geometrics and/or signage in order to improve safety and traffic flow efficiency (ie. add exclusive left turn lanes, add crosswalks, add ""No Right Turn On Red"" signs, etc.).",Citywide,Citywide,,
SU-553187,"I-35E MnPASS (Arlington, Wheelock & Larpenteur Bridges)","This project will add MnPASS lanes to I-35E from Maryland to Little Canada and be constructed in conjunction with the scheduled reconstruction and addition of MnPASS lanes on the I-35E /Cayuga Project.  Construction will take place during the 2014-15 construction seasons.  The addition of MnPASS lanes will improve safety and capacity by moving more people through the corridor, not just more vehicles.  (NOTE: MnPASS lanes are High Occupancy Vehicle (HOV) lanes that include the option for Single Occupancy Vehicles (SOV) to use the lanes if they pay a toll and capacity exists).  

The project will replace the Arlington, Wheelock and Larpenteur Bridges over I-35E offering the opportunity to widen sidewalks, add shoulders for bicycles, improve street lighting and improve the overall aesthetics of the bridge structures to be consistent with City policies and current practices.  The project removes the separate Gateway Trail Bridge over I-35E and combines the DNR trail on the  Arlington Bridge to reduce on-going maintenance costs while preserving the integrity of the popular Gateway Trail.",I-35E Corridor - Maryland Avenue to Little Canada Road,"5, 6",,
RE-550861-2,Economic Development-Loan Leverage Fund,"To provide loans and loan guarantees to businesses located in the service area and/or to identify blighted, marginal retail buildings, acquire and prepare for reuse or demolition.  

The Economic Development - Loan Leverage fund is designed to target small to medium service, retail or manufacturing businesses that both provide service to the neighborhood and the opportunity for employment.  Funds for the loan or loan guarantees can finance up to one half of the project thus leveraging bank financing.  Eligible uses include site acquisition, construction, machinery, working capital and site improvements.  A budget of $200,000 for 2006 and $200,000 for 2007 is requested for this program.","East of Johnson Parkway, North of I 94","1, 2, 4, 5",,
SU-132343-1,Hamline Avenue Bridge Reconstruction over Ayd Mill Road,This project will reconstruct the Hamline Avenue Bridge (62502) and the roadway approaches between Portland and Selby.  The existing bridge will be removed and a new bridge of new cross-section will be built in its place that accommodates all modes of transportation.  The St. Paul ornamental railing and a lantern lighting system will also be incorporated in to project.,Hamline Avenue Bridge between Portland and Selby and extending over the CP Railroad Tracks and Ayd Mill Road,13,,
SU-032324,Kansas Avenue Reconstruction - Annapolis to Winona,"Grade and pave existing older paved street with bituminous pavement.  Other work includes: construct concrete curb and gutter, driveway aprons, outwalks, pedestrian ramps, storm sewer system improvements, grade and sod boulevards, install a new street lighting system and plant trees.",Kansas Avenue from Annapolis Street to Winona Street,3,,
RE-660811-1,Home Ownership Development Fund,"This is a flexible source of financing to primarily assist in the implementation of the Saint Paul Housing Production  Plan 2002-2005 (Housing 5000).  It will assist in the financing of New Housing Production and rehabilitation of 1-4 unit home ownership housing on a citywide basis.
Eligible uses of funds are uses defined eligible under CDBG regulations as they pertain to acquisition; relocation demolition; site preparation; public improvements; rehab including historic preservation, treatment of hazardous materials, new construction; financing and other costs that are part of total development costs.  Uses include, but are not limited to, loans (including forgivable loans) and grants to fund interim or permanent financing.  The Fund provides flexibility to address a variety of home ownership opportunities in St. Paul neighborhoods primarily in 1-4 unit houses, including the current existing programs: Houses to Homes; Duplex Home Ownership; Replacement Single Family (In-fill) New Construction; Selective Clearance; Hazardous Waste Removal for Housing Rehab.",Citywide,Citywide,,
SU-131346,Traffic Signal Reconstruction on Snelling Avenue @ I-94,Reconstruct and upgrade traffic signal systems at the intersections of Snelling Avenue @ St. Anthony and Snelling Avenue @ Concordia.,"Snelling Avenue at St. Anthony Avenue
Snelling Avenue at Concordia Avenue",13,,
SU-6602231-23,Franklin Ave RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Franklin Ave RSVP,12,,
CF-660832,Citywide Path and Trail Renovation Program,"This proposal continues the program established in the 1996-1997 budget to systematically resurface the over 50 miles of paved paths and trails in the City's park system.  To the extent that grants may be available for trail work, funds appropriated under this program can be used to match the applicable grants to the City's benefit.",Citywide,Citywide,,
SU-031142,"South Wabasha ""Green"" Stairway Reconstruction",Reconstruct the Channel Street Stair Tower to provide a stair system that is structurally and functionally safe.,Prospect Boulevard to Wabasha Street - the Green Staircase located at the base of the bluff.,3,,
CF-660836-448,Dayton's Bluff Rec Center - Adjustable Rims- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,800 Conway St,Citywide,44.955271,-93.065283
CF-660836-391,Highland National Kitchen- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,104 Montreal,15,44.91250953,-93.16350075
CF-660836-374,West District Parking Lot Surveillance Cameras- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,389 N Hamline Ave,14,44.92977135,-93.15685676
SU-553743,Como Avenue Trail,"The proposed project will construct an off-street trail along the north side of Como
Avenue between Raymond Avenue and Hamline Avenue. The proposal also includes
construction of several bump outs to shorten pedestrian crossing distances. Narrowing
the roadway will require some removal of existing pavement markings and placement of
new striping. This proposal also includes construction of pedestrian scaled lighting along
some of the corridor.",Raymond to Hamline,"10,12",44.977423,-93.17138
CF-660836-446,Hazel Park Rec Center - Removable Rims- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,945 Hazel St N,Citywide,44.969713,-93.020687
CF-660836-437,Rice and Arlington Municipal Athletics - Roof Replacement- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1500 Rice Street,Citywide,44.986216,-93.105345
SU-052862-1,Maryland Ave at Payne Ave Intersection Improvements,"Widen and reconstruct Maryland Avenue in order to install left turn lanes on Maryland at the Payne Avenue intersection. This proposal will fund the City's share of project which will be administered by Ramsey County. The project will include reconstructing Maryland Avenue between Edgerton and Greenbriar. The traffic signal system at Maryland and Payne will be revised to include left turn arrow indications. Lantern style street lighting, new sidewalk and boulevard trees will also be installed on Maryland within the project area. Ramsey County has received 2014 Federal Highway Safety Funds for this project.",Maryland Avenue - Edgerton to Greenbriar,5,,
CF-083142,McQuillan Play Area,"Update McQuillan play area to meet or exceed current safety recommendations and ADA compliance standards.  Play area enhancements may include installation of resilient surfacing to meet ADA compliance, equipment replacement, concrete walk replacement, and improvement of seating and landscaping.","515 Laurel Avenue, St. Paul, MN  55102",8,,
CF-661052,Sandy Lake Soccer Facility Development - Phase I,"Conversion of approximately 45 acres of Regional Water Services lime sludge pond to a soccer facility.  The facility is proposed to include up to six fields and associated site improvements implemented in three phases.  Phase 1 - design; engineering and permits in 2004; filling, grading, drainage, irrigation and water service, and site work such as landscaping, turf, parking lots, fencing and signage in 2005; and a storage/restroom building and tot lot in the future.","100 Block County Road B East, Maplewood, MN / County Road B, I-35E, 300' North of Skillman",Citywide,,
SU-6602231-20,Fairview/Bohland RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Fairview/Bohland RSVP,15,,
SU-6602231-19,Maiden Lane/ Virginia RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Maiden Lane/ Virginia RSVP,8,,
SU-093257,West 7th Street Intersection Design and Implementation,"Funding for developing an overall, cohesive design for the major and minor intersections along the Avenue, that supports all the differing modes of transportation along The Avenue. Develop West 7th as the zipper that holds both sides of Fort Road Federation together instead of dividing the neighborhood.",West 7th Street from Kellogg to 35E,9,,
CF-101769,Como Woodland Outdoor Classroom,"Funding is being requested to restore the Historic Dutch Ovens (Joyce Kilmer Fireplace) of Como Regional Park. This WPA feature was originally built with funds donated by the American Legion in 1936. As a result of years of abuse, this structure is crumbling and is currently fenced off from the public. Funding this project will allow the City to restore the Ovens and surrounding structures; the City would install protective firebox grates and a 150ft. boulder barrier along Como Avenue to protect the structure from future damage. We also request funds to have a comprehensive site plan written for the overall project. Main elements of the overall project include: 14.5 acre restored to native plant communities; 2930 ft. of trailes to guide visitors; 50 educational posts placed along the trail (which will correspond with web-accessible guides, written by teacher and students; registration for groups will be done online.)",Como Regional Park,10,,
RE-050733-3,ESNDC Business Investment Fund (BIF),"The East Side Neighborhood Development Company (ESNDC) requests $400,000 ($200,000 each year) in grant funds for its Business Investment Fund (BIF) for commercial rehabilitation on Payne Avenue and Arcade Street from East 7th Street (on south) to Larpenteur Avenue (on north).  BIF money would be leveraged with private matching funds by business and/or property owners.  The purpose of the BIF is to increase the level of redevelopment activity that generates highly visible commercial improvements and new development that results in positive community impact. 

If funded through this CIB round the BIF program will be able to expand its commercial development activities beyond Maryland Avenue at the north to Larpenteur Avenue.",Payne Avenue & Arcade Street from East 7th Street (south)and Ivy Avenue (north),5,,
CF-661722-1,Asphalt Restoration and Replacement Program,"This proposal requests continued support of the Asphalt Restoration and Replacement Program.  The program was first established in the 1996-97 budget to systematically resurface, seal coat, and/or repair the over 50 miles of paved paths and trails in the City's park system, including paved sites, building access routes, and parking lots.",Citywide,Citywide,,
SU-660824-1,Signal Enhancements/Traffic Channelization Program,"Minor revisions to traffic signal systems that improve traffic flow and/or bring signal systems in conformance with current design standards (i.e.. add left turn arrows, install overhead indications, install larger indications etc.).

Minor changes to roadway geometrics or striping to improve pedestrian safety and/or vehicle flow (ie. add exclusive left turn lanes, add crosswalks, add signing as appropriate etc.).  Minor changes to roadway geometrics or striping to improve pedestrian safety and/or vehicle flow (ie. add exclusive left turn lanes, add crosswalks, add signing, etc).",Citywide,Citywide,,
SU-6602231-24,St. Clair RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",St. Clair RSVP,14,,
SU-6602230,Ford Parkway Sidewalk Reconstruction,Remove and replace existing sidewalk that is poor condition and/or presents a safety hazard for pedestrians.,Ford Parkway from Howell Street to Snelling Avenue,15,,
SU-101301,Hamline Avenue Improvements-Hoyt to Larpenteur,"Hamline Avenue from Hoyt Avenue to Larpenteur Avenue will be completely reconstructed with new pavement, curb, gutters, and a new storm sewer system.",Hamline Avenue from Hoyt Avenue to Larpenteur Avenue,"6, 7",,
SU-013205,Warner Road Bridge and Bicycle Trail at Childs Road,Ramsey County is planning to replace the existing structurally deficient eastbound Warner Road Bridge over several railroad properties and construct a new bicycle trail bridge over the eastbound Childs Road Ramps.  City cost participation is required in order to upgrade bridge railings on the Warner Road structure and to upgrade the railing and lighting on the trail bridge structure.,Warner Road at the EB Childs Road Ramps,1,,
CF-660836-444,Como Lakeside Pavilion - Roof Top Condenser and Air Handler- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1360 Lexington Pkwy N,Citywide,44.982304,-93.143188
SU-6600816-24,Ashland/Pascal RSVP,"Grade and pave existing oiled and older paved residential streets with new bituminous pavement.   Other work to be done includes the construction of concrete curbs and gutters, driveway aprons, outwalks, handicapped pedestrian ramps, grade and sod boulevards, plant trees and install street lighting.  This program also includes installation of street lighting on newer paved residential streets that currently do not have any street lighting.",Ashland/Pascal RSVP,13,,
SU-662344-1,Bridge Enhancement Program,This program provides bridge enhancements that include ornamental railing and lantern lighting to bridges that currently have no amenities and are not scheduled for reconstruction for at least ten years.  Projects will be selected through a CIB process with selection criteria developed by Public Works and the CIB Committee.,Citywide,Citywide,,
CF-660869-1,Transfers to Debt Service Fund,Transfer of interest earnings from prior years' capital improvement bond accounts and project balances from completed projects to capital improvement bonds debt service account.,Internal Accounting,Citywide,,
SU-6602231-10,Hewitt/Tatum RSVP,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Hewitt/Tatum RSVP,11,,
CF-660836-346,Como Street Car Station Street Car Roof and Door frames- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,1224 N Lexington PKWY,10,44.9779816,-93.14674753
CF-660836-377,Kitchen Remodel Fire Station 4- Capital Maintenance,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,505 Payne Ave,5,44.95674005,-93.07835985
