VOTE TABULATION DISTRICT ID ,PRECINCT NAME,PRECINCT NUMBER ,MUNICIPALITY OR UNORGANIZED TERRITORY,COUNTY,COUNTY NUMBER,US CONGRESSIONAL DISTRICT,MN SENATE DISTRICT,MN LEGISLATIVE DISTRICT,COUNTY COMMISSIONER DISTRICT,JUDICIAL DISTRICT,SOIL AND WATER CONSERVATION DISTRICT,WARD,VOTE TABULATING SYSTEM,VOTE TABULATING EQUIPMENT USED FOR PRECINCT,MAIL BALLOTING,PRE-REGISTRATIONS,ELECTION DAY REGISTRATIONS,IN-PERSON VOTERS, ABSENTEE BALLOTS,FEDERAL OFFICES ABSENTEE BALLOTS ,TOTAL VOTES CAST,US SENATOR INDEPENDENCE PARTY VOTES,US SENATOR REPUBLICAN PARTY VOTES,US SENATOR DFL PARTY VOTES,US SENATOR LIBERTARIAN PARTY VOTES,US SENATOR WRITE IN VOTES,US SENATOR TOTAL VOTES,US REPRESENTATIVE INDEPENDENCE PARTY VOTES,US REPRESENTATIVE REPUBLICAN PARTY VOTES,US REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,US REPRESENTATIVE WRITE IN VOTES,US REPRESENTATIVE TOTAL VOTES,MN REPRESENTATIVE INDEPENDENCE PARTY VOTES,MN REPRESENTATIVE REPUBLICAN PARTY VOTES,MN REPRESENTATIVE DEMOCRATIC-FARMER-LABOR PARTY VOTES,MN REPRESENTATIVE WRITE IN VOTES,MN REPRESENTATIVE TOTAL VOTES,MN GOVERNOR INDEPENDENCE PARTY VOTES,MN GOVERNOR REPUBLICAN PARTY VOTES,MN GOVERNOR DFL PARTY VOTES,MN GOVERNOR LIBERTARIAN PARTY VOTES,MN GOVERNOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN GOVERNOR WRITE IN VOTES,MN GOVERNOR TOTAL VOTES,MN SECRETARY OF STATE INDEPENDENCE PARTY VOTES,MN SECRETARY OF STATE REPUBLICAN PARTY VOTES,MN SECRETARY OF STATE DFL PARTY VOTES,MN SECRETARY OF STATE LIBERTARIAN PARTY VOTES,MN SECRETARY OF STATE WRITE IN VOTES,MN SECRETARY OF STATE TOTAL VOTES,MN STATE AUDITOR INDEPENDENCE PARTY VOTES,MN STATE AUDITOR REPUBLICAN PARTY CANDIDATE VOTES,MN STATE AUDITOR DFL PARTY VOTES,MN STATE AUDITOR LIBERTARIAN PARTY VOTES,MN STATE AUDITOR GRASSROOTS - LEGALIZE CANNABIS PARTY VOTES,MN STATE AUDITOR WRITE IN VOTES,MN STATE AUDITOR TOTAL VOTES,MN ATTORNEY GENERAL INDEPENDENCE PARTY VOTES,MN ATTORNEY GENERAL REPUBLICAN PARTY VOTES,MN ATTORNEY GENERAL DFL PARTY VOTES,MN ATTORNEY GENERAL GREEN PARTY VOTES,MN ATTORNEY GENERAL LIBERTARIAN PARTY VOTES,MN ATTORNEY GENERAL LEGAL MARIJUANA NOW PARTY VOTES,MN ATTORNEY GENERAL WRITE IN VOTES,MN ATTORNEY GENERAL TOTAL VOTES
271230640,Saint Paul W-1 P-11,640,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1120,42,435,59,0,494,20,37,417,10,1,485,26,35,407,0,468,0,43,357,1,462,14,43,403,9,13,0,482,17,51,368,20,0,456,18,41,364,9,23,0,455,8,35,352,30,16,18,0,459
271230650,Saint Paul W-1 P-12,650,St. Paul,Ramsey,62,4,65,65B,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,308,32,212,39,0,251,0,63,186,1,0,250,8,55,181,0,244,0,62,165,2,229,5,66,175,0,2,0,248,7,57,171,5,0,240,3,52,177,4,5,0,241,4,53,166,10,4,3,0,240
271230660,Saint Paul W-1 P-13,660,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,1094,99,648,85,2,735,9,131,583,10,0,733,31,129,562,3,725,0,134,573,3,710,16,136,558,9,10,0,729,34,128,536,16,0,714,16,114,542,16,23,0,711,10,112,494,55,14,26,1,712
271230670,Saint Paul W-1 P-14,670,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,929,37,353,39,0,392,17,43,309,10,1,380,29,45,266,2,342,0,53,246,9,308,13,39,276,6,5,1,340,29,37,244,16,1,327,12,42,227,20,11,0,312,12,39,225,14,11,9,0,310
271230675,Saint Paul W-1 P-15,675,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,674,37,240,32,0,272,5,61,192,10,0,268,26,60,176,0,262,0,70,153,0,252,17,60,172,3,10,0,262,19,63,161,11,0,254,15,53,160,8,21,0,257,10,53,166,11,6,12,0,258
271230678,Saint Paul W-1 P-16,678,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-01,Precinct Tabulator,Premier Accuvote,NO,224,13,120,7,0,127,3,20,103,0,0,126,7,22,96,0,125,0,24,95,0,119,4,23,95,0,5,0,127,4,23,93,2,0,122,6,21,90,2,6,0,125,3,21,88,5,2,5,0,124
271230680,Saint Paul W-2 P-1,680,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1506,113,972,124,0,1096,5,183,892,13,0,1093,46,153,879,2,1080,0,169,892,2,1063,25,181,858,8,21,1,1094,41,163,830,24,3,1061,30,141,844,13,36,0,1064,19,141,789,75,11,39,0,1074
271230690,Saint Paul W-2 P-2,690,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1573,119,1010,106,1,1117,13,234,859,11,0,1117,50,218,839,0,1107,0,226,859,0,1085,28,236,830,9,10,1,1114,46,228,786,23,1,1084,31,205,812,11,28,0,1087,17,213,739,79,13,27,2,1090
271230700,Saint Paul W-2 P-3,700,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,2105,145,1227,120,0,1347,23,302,974,38,1,1338,109,268,934,3,1314,0,334,911,9,1254,47,316,925,17,34,1,1340,71,307,850,46,5,1279,55,260,881,29,64,3,1292,41,247,865,44,29,70,3,1299
271230710,Saint Paul W-2 P-4,710,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1407,146,898,124,0,1022,11,183,808,15,1,1018,54,164,787,5,1010,0,184,806,1,991,27,187,772,14,17,0,1017,44,169,752,24,0,989,34,147,746,24,34,1,986,21,150,714,62,18,28,0,993
271230720,Saint Paul W-2 P-5,720,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,2150,172,1200,135,0,1335,28,246,1028,30,0,1332,120,205,994,4,1323,0,263,1006,8,1277,46,249,965,16,53,0,1329,91,249,911,42,1,1294,54,198,924,31,79,0,1286,41,209,864,87,27,78,2,1308
271230730,Saint Paul W-2 P-6,730,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,632,48,383,26,0,409,12,81,302,9,1,405,15,79,296,2,392,0,86,290,5,381,8,82,291,5,12,1,399,23,82,271,9,3,388,16,64,281,8,15,4,388,10,59,282,17,5,15,2,390
271230740,Saint Paul W-2 P-7,740,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1977,137,905,180,0,1085,29,212,825,12,2,1080,65,209,789,0,1063,0,247,775,3,1025,29,228,783,10,26,0,1076,45,219,742,33,2,1041,44,205,729,19,41,1,1039,28,206,713,48,19,40,0,1054
271230750,Saint Paul W-2 P-8,750,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1130,79,454,94,0,548,8,107,422,7,0,544,30,99,413,1,543,0,118,402,6,526,14,100,406,10,10,0,540,25,104,389,16,2,536,17,92,386,11,27,1,534,17,84,375,23,10,26,0,535
271230760,Saint Paul W-2 P-9,760,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1794,217,977,148,1,1126,18,215,870,16,2,1121,47,189,873,3,1112,0,239,820,5,1064,21,203,858,16,18,1,1117,42,206,803,28,3,1082,32,182,804,26,36,2,1082,28,178,790,39,23,35,3,1096
271230770,Saint Paul W-2 P-10,770,St. Paul,Ramsey,62,4,67,67B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,124,7,19,0,0,19,0,8,11,0,0,19,2,7,9,0,18,0,8,10,0,18,0,8,11,0,0,0,19,1,7,10,0,0,18,0,9,8,1,0,0,18,1,7,8,2,0,0,0,18
271230780,Saint Paul W-2 P-11,780,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,2108,266,1107,168,0,1275,10,224,1021,17,2,1274,57,209,986,1,1253,0,241,988,2,1231,23,221,991,8,26,2,1271,52,229,934,27,1,1243,32,192,933,20,59,1,1237,26,195,898,52,17,57,0,1245
271230790,Saint Paul W-2 P-12,790,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1667,78,963,90,0,1053,18,214,800,17,0,1049,64,177,795,0,1036,0,228,779,2,1009,32,220,759,9,28,0,1048,51,221,727,24,2,1025,36,189,733,17,44,1,1020,25,185,697,61,13,51,0,1032
271230800,Saint Paul W-2 P-13,800,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1327,77,710,99,0,809,12,108,663,17,1,801,50,100,633,1,784,0,112,638,3,753,27,117,628,5,22,3,802,36,107,602,21,2,768,18,92,607,11,37,2,767,14,94,566,54,16,31,2,777
271230810,Saint Paul W-2 P-14,810,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,1567,66,762,59,0,821,25,145,639,8,0,817,65,134,610,1,810,0,176,607,4,787,29,156,600,10,22,0,817,62,153,562,23,1,801,44,124,578,16,40,0,802,26,131,546,48,20,31,1,803
271230820,Saint Paul W-2 P-15,820,St. Paul,Ramsey,62,4,65,65B,5,2,4123,W-02,Precinct Tabulator,Premier Accuvote,NO,2338,137,977,89,0,1066,24,183,826,23,1,1057,78,162,796,3,1039,0,202,808,3,1013,32,185,785,16,32,1,1051,56,190,727,36,1,1010,38,170,726,25,48,0,1007,24,168,717,44,27,41,0,1021
271230840,Saint Paul W-3 P-1,840,St. Paul,Ramsey,62,4,64,64B,4,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,2022,111,1394,169,2,1565,15,437,1092,17,3,1564,76,387,1079,1,1543,0,405,1093,4,1502,35,425,1071,10,14,1,1556,59,419,1008,20,1,1507,46,364,1052,15,25,0,1502,31,364,1002,70,17,29,0,1513
271230850,Saint Paul W-3 P-2,850,St. Paul,Ramsey,62,4,64,64B,4,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,2378,163,1636,141,3,1780,17,509,1233,16,0,1775,92,409,1237,4,1742,0,469,1232,5,1706,37,496,1199,12,27,0,1771,70,460,1129,33,2,1694,43,395,1180,24,54,1,1697,28,394,1139,101,18,43,1,1724
271230860,Saint Paul W-3 P-3,860,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,2578,177,1587,227,0,1814,20,457,1300,31,2,1810,99,419,1264,2,1784,0,443,1294,8,1745,44,469,1244,17,32,2,1808,69,450,1190,37,1,1747,51,384,1238,29,57,0,1759,34,397,1172,94,22,48,0,1767
271230870,Saint Paul W-3 P-4,870,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1367,115,748,201,1,950,10,250,676,11,0,947,42,218,676,0,936,0,224,671,3,898,33,244,656,3,8,1,945,33,249,627,12,0,921,24,201,665,7,19,0,916,10,204,628,49,12,17,1,921
271230880,Saint Paul W-3 P-5,880,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1743,137,994,127,0,1121,19,324,756,19,0,1118,54,295,751,2,1102,0,318,752,4,1074,24,322,736,13,18,0,1113,43,310,709,22,2,1086,33,288,714,14,30,2,1081,23,263,711,36,22,26,2,1083
271230890,Saint Paul W-3 P-6,890,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,2123,90,1287,162,0,1449,14,419,992,19,3,1447,83,368,964,3,1418,0,412,963,3,1378,36,419,955,9,23,0,1442,54,417,889,29,2,1391,44,364,916,18,45,1,1388,31,345,914,54,25,38,1,1408
271230900,Saint Paul W-3 P-7,900,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1649,317,1011,62,1,1074,11,98,950,11,2,1072,35,91,924,2,1052,0,88,937,4,1029,18,99,910,9,32,1,1069,30,88,887,24,1,1030,17,78,840,19,57,1,1012,18,74,755,104,17,52,2,1022
271230910,Saint Paul W-3 P-8,910,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1557,85,1026,92,0,1118,13,222,871,8,2,1116,44,193,864,2,1103,0,212,860,3,1075,30,227,830,11,14,1,1113,41,225,795,20,1,1082,35,182,826,10,31,0,1084,25,180,771,68,10,27,1,1082
271230920,Saint Paul W-3 P-9,920,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,2369,134,1519,185,3,1707,16,421,1253,14,1,1705,67,381,1236,1,1685,0,384,1260,4,1648,44,419,1199,9,23,1,1695,53,405,1154,32,2,1646,45,363,1188,13,36,2,1647,36,358,1152,59,21,28,2,1656
271230930,Saint Paul W-3 P-10,930,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1626,72,1004,120,0,1124,13,337,748,18,0,1116,52,296,754,1,1103,0,324,751,0,1075,21,346,730,9,10,0,1116,47,309,703,20,1,1080,30,270,725,22,27,0,1074,19,271,692,59,19,24,2,1086
271230940,Saint Paul W-3 P-11,940,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1599,122,805,87,2,894,16,165,690,17,0,888,57,159,652,0,868,0,186,657,3,846,17,167,678,9,12,1,884,47,188,595,17,1,848,28,164,629,9,21,0,851,13,159,627,19,18,23,0,859
271230950,Saint Paul W-3 P-12,950,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1793,140,1180,116,3,1299,13,207,1056,14,3,1293,62,177,1034,3,1276,0,203,1046,4,1253,27,215,1019,13,15,1,1290,50,201,975,23,1,1250,32,172,997,17,39,1,1258,25,168,914,112,12,30,3,1264
271230960,Saint Paul W-3 P-13,960,St. Paul,Ramsey,62,4,64,64B,4,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,1792,108,1182,92,0,1274,10,276,971,14,1,1272,68,234,951,3,1256,0,272,956,0,1228,25,282,929,14,18,1,1269,55,264,898,20,0,1237,35,221,937,15,37,0,1245,21,221,887,65,16,39,2,1251
271230970,Saint Paul W-3 P-14,970,St. Paul,Ramsey,62,4,64,64B,5,2,4123,W-03,Precinct Tabulator,Premier Accuvote,NO,3438,175,2266,224,1,2491,34,671,1755,24,2,2486,117,570,1758,4,2449,0,641,1729,3,2373,57,676,1699,15,38,0,2485,100,641,1597,44,3,2385,72,562,1654,31,64,2,2385,45,551,1591,116,35,72,2,2412
271231000,Saint Paul W-4 P-1,1000,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1515,117,999,103,2,1104,15,142,920,17,0,1094,48,134,906,1,1089,0,150,897,1,1048,23,150,890,5,22,0,1090,45,137,837,28,0,1047,24,121,841,19,42,0,1047,18,125,798,83,15,24,1,1064
271231010,Saint Paul W-4 P-2,1010,St. Paul,Ramsey,62,4,66,66A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1264,83,850,110,2,962,8,92,852,8,1,961,22,92,835,1,950,0,90,854,1,945,13,96,824,9,12,2,956,33,91,801,10,1,936,17,79,803,13,19,1,932,12,80,742,83,7,16,0,940
271231020,Saint Paul W-4 P-3,1020,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1845,228,979,73,1,1053,13,127,885,19,1,1045,56,107,869,2,1034,0,125,864,2,991,26,118,842,15,38,1,1040,48,115,801,32,1,997,27,97,797,25,50,1,997,28,92,748,74,24,41,1,1008
271231030,Saint Paul W-4 P-4,1030,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1760,139,1069,131,0,1200,17,230,932,14,0,1193,55,201,927,1,1184,0,237,921,2,1160,26,233,901,6,25,0,1191,47,209,850,41,1,1148,37,187,860,20,53,1,1158,23,177,807,93,23,40,2,1165
271231040,Saint Paul W-4 P-5,1040,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1251,150,834,69,0,903,14,217,662,9,0,902,42,192,651,2,887,0,208,659,5,872,24,219,640,4,12,0,899,30,213,604,20,1,868,22,177,621,16,31,2,869,15,182,580,64,13,24,1,879
271231050,Saint Paul W-4 P-6,1050,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1635,547,1049,61,0,1110,22,488,567,31,1,1109,72,447,553,2,1074,0,491,559,4,1054,23,473,556,29,18,2,1101,38,479,493,51,2,1063,41,410,521,42,40,2,1056,26,434,490,37,36,39,1,1063
271231060,Saint Paul W-4 P-7,1060,St. Paul,Ramsey,62,4,64,64B,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1733,202,1165,135,4,1304,6,414,869,13,0,1302,58,372,849,2,1281,0,395,848,2,1245,26,400,843,11,16,0,1296,37,386,801,32,2,1258,31,344,839,19,28,0,1261,23,346,787,65,19,23,1,1264
271231070,Saint Paul W-4 P-8,1070,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,2081,133,1173,100,0,1273,16,168,1065,21,0,1270,69,156,1027,2,1254,0,181,1036,3,1220,49,170,995,10,43,0,1267,68,181,955,31,1,1236,51,149,950,22,64,2,1238,26,146,873,120,16,60,1,1242
271231080,Saint Paul W-4 P-9,1080,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1463,111,715,138,0,853,16,118,690,21,2,847,47,108,679,2,836,0,136,676,3,815,35,128,642,10,28,0,843,36,122,635,25,0,818,25,104,631,13,52,0,825,20,104,589,52,12,55,0,832
271231090,Saint Paul W-4 P-10,1090,St. Paul,Ramsey,62,4,64,64A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1917,191,1176,127,0,1303,9,199,1083,10,1,1302,58,168,1057,1,1284,0,195,1073,5,1273,30,198,1028,9,31,2,1298,45,187,1002,30,3,1267,30,155,1000,17,58,2,1262,20,161,895,139,11,45,1,1272
271231100,Saint Paul W-4 P-11,1100,St. Paul,Ramsey,62,4,66,66A,3,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,2238,149,1389,193,0,1582,33,309,1196,40,1,1579,86,288,1177,3,1554,0,341,1194,1,1536,48,318,1168,12,26,0,1572,72,303,1106,44,2,1527,60,264,1109,35,55,0,1523,28,260,1068,108,25,41,0,1530
271231110,Saint Paul W-4 P-12,1110,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1496,167,857,76,1,934,11,163,748,11,0,933,42,160,725,1,928,0,184,705,5,894,27,166,716,6,15,1,931,36,163,685,17,1,902,28,140,687,13,32,0,900,14,141,662,55,5,31,2,910
271231120,Saint Paul W-4 P-13,1120,St. Paul,Ramsey,62,4,66,66B,3,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1598,200,948,51,0,999,17,151,801,22,4,995,68,136,763,5,972,0,176,758,5,939,39,146,750,15,31,3,984,44,158,714,35,1,952,30,142,700,27,49,2,950,13,127,672,64,26,51,0,953
271231130,Saint Paul W-4 P-14,1130,St. Paul,Ramsey,62,4,65,65A,4,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1331,85,750,65,2,817,15,102,686,11,0,814,44,85,675,2,806,0,105,575,0,790,24,99,653,11,22,0,809,39,92,641,23,0,795,36,80,636,11,38,0,801,19,78,592,70,13,31,0,803
271231140,Saint Paul W-4 P-15,1140,St. Paul,Ramsey,62,4,65,65A,3,2,4123,W-04,Precinct Tabulator,Premier Accuvote,NO,1326,75,862,66,1,929,15,160,737,14,2,928,48,148,718,2,916,0,160,567,1,890,29,167,683,13,32,1,925,51,158,661,19,4,893,31,141,661,16,49,1,899,20,134,620,88,10,39,0,911
